"probe_id","symbol"
"771_at_AB_8:43","CA12"
"771_at_AB_1:7","CA12"
"773_at","CACNA1A"
"774_at","CACNA1B"
"775_at","CACNA1C"
"776_at","CACNA1D"
"777_at","CACNA1E"
"778_at","CACNA1F"
"779_at","CACNA1S"
"780_at_AB_1:24","DDR1"
"780_at_AB_25:40","DDR1"
"781_at","CACNA2D1"
"782_at","CACNB1"
"783_at","CACNB2"
"784_at","CACNB3"
"785_at","CACNB4"
"786_at","CACNG1"
"788_at","SLC25A20"
"790_at","CAD"
"793_at","CALB1"
"794_at","CALB2"
"795_at","S100G"
"796_at","CALCA"
"797_at","CALCB"
"799_at","CALCR"
"800_at_AB_1:9","CALD1"
"800_at_AB_10:67","CALD1"
"800_at_AB_68:85","CALD1"
"801_at","CALM1"
"805_at","CALM2"
"808_at_AB_1:15","CALM3"
"808_at_AB_16:41","CALM3"
"810_at","CALML3"
"811_at_AB_1:11","CALR"
"811_at_AB_12:21","CALR"
"813_at_AB_2:9","CALU"
"813_at_AB_1;10:31","CALU"
"814_at","CAMK4"
"815_at","CAMK2A"
"816_at","CAMK2B"
"817_at_AB_1:33","CAMK2D"
"817_at_AB_34:44","CAMK2D"
"818_at_AB_1:8;17:56","CAMK2G"
"818_at_AB_9:16","CAMK2G"
"819_at","CAMLG"
"820_at","CAMP"
"821_at_AB_1:7;9:22","CANX"
"821_at_AB_34:49","CANX"
"821_at_AB_23:33;50:82","CANX"
"822_at","CAPG"
"823_at","CAPN1"
"824_at_AB_1:18","CAPN2"
"824_at_AB_19:45","CAPN2"
"825_at_AB_1:7","CAPN3"
"825_at_AB_8:25","CAPN3"
"826_at","CAPNS1"
"827_at","CAPN6"
"828_at","CAPS"
"829_at_AB_1:8","CAPZA1"
"829_at_AB_9:17","CAPZA1"
"830_at","CAPZA2"
"831_at_AB_1:14","CAST"
"831_at_AB_48:72","CAST"
"831_at_AB_15:47","CAST"
"832_at","CAPZB"
"833_at","CARS1"
"834_at_AB_36:43","CASP1"
"834_at_AB_1:35","CASP1"
"835_at_AB_1:11","CASP2"
"835_at_AB_12:33","CASP2"
"836_at","CASP3"
"837_at","CASP4"
"838_at","CASP5"
"839_at","CASP6"
"840_at","CASP7"
"841_at","CASP8"
"842_at","CASP9"
"843_at","CASP10"
"844_at","CASQ1"
"845_at","CASQ2"
"846_at","CASR"
"847_at","CAT"
"857_at","CAV1"
"858_at","CAV2"
"859_at","CAV3"
"860_at_AB_1:11","RUNX2"
"860_at_AB_12:22","RUNX2"
"861_at_AB_1:8;20:35","RUNX1"
"861_at_AB_36:57","RUNX1"
"861_at_AB_9:19","RUNX1"
"862_at_AB_1:35","RUNX1T1"
"862_at_AB_36:46","RUNX1T1"
"863_at","CBFA2T3"
"864_at","RUNX3"
"865_at_AB_1:2;11:32","CBFB"
"865_at_AB_3:10","CBFB"
"866_at","SERPINA6"
"867_at","CBL"
"868_at_AB_1:11","CBLB"
"868_at_AB_12:31","CBLB"
"869_at","CBLN1"
"871_at","SERPINH1"
"873_at_AB_1:18","CBR1"
"873_at_AB_19:73","CBR1"
"874_at","CBR3"
"881_at","CCIN"
"883_at","KYAT1"
"885_at","CCK"
"886_at","CCKAR"
"887_at","CCKBR"
"889_at","KRIT1"
"890_at","CCNA2"
"891_at","CCNB1"
"892_at_AB_1:13","CCNC"
"892_at_AB_14:24","CCNC"
"894_at","CCND2"
"896_at","CCND3"
"898_at","CCNE1"
"899_at","CCNF"
"900_at_AB_1:18","CCNG1"
"900_at_AB_19:38","CCNG1"
"901_at_AB_1:10","CCNG2"
"901_at_AB_11:30","CCNG2"
"902_at","CCNH"
"904_at","CCNT1"
"905_at","CCNT2"
"908_at","CCT6A"
"909_at","CD1A"
"910_at","CD1B"
"911_at","CD1C"
"912_at","CD1D"
"913_at_AB_1:14;26","CD1E"
"913_at_AB_15:25;27:51","CD1E"
"914_at","CD2"
"915_at","CD3D"
"916_at_AB_1:8","CD3E"
"916_at_AB_9:11","CD3E"
"917_at","CD3G"
"919_at","CD247"
"920_at","CD4"
"921_at","CD5"
"922_at","CD5L"
"923_at_AB_1:25;28:29","CD6"
"923_at_AB_26:27;30:56","CD6"
"924_at","CD7"
"925_at_AB_1:5","CD8A"
"925_at_AB_6:19","CD8A"
"926_at","CD8B"
"928_at_AB_1:15","CD9"
"928_at_AB_16;26:50","CD9"
"929_at","CD14"
"930_at","CD19"
"931_at_AB_1:22","MS4A1"
"931_at_AB_23:33","MS4A1"
"932_at","MS4A3"
"933_at","CD22"
"939_at","CD27"
"940_at","CD28"
"941_at","CD80"
"942_at_AB_1:20","CD86"
"942_at_AB_21:45","CD86"
"943_at","TNFRSF8"
"944_at","TNFSF8"
"945_at","CD33"
"946_at","SIGLEC6"
"947_at","CD34"
"948_at_AB_1:9","CD36"
"948_at_AB_10:20","CD36"
"948_at_AB_21:31","CD36"
"949_at","SCARB1"
"950_at_AB_1:11","SCARB2"
"950_at_AB_12:33","SCARB2"
"950_at_AB_34:43","SCARB2"
"951_at_AB_1:17","CD37"
"951_at_AB_18:26","CD37"
"952_at","CD38"
"953_at_AB_1:15","ENTPD1"
"953_at_AB_16:26","ENTPD1"
"954_at","ENTPD2"
"955_at","ENTPD6"
"956_at","ENTPD3"
"957_at","ENTPD5"
"958_at","CD40"
"959_at","CD40LG"
"960_at_AB_1:31","CD44"
"960_at_AB_32:98","CD44"
"961_at_AB_1:10","CD47"
"961_at_AB_11:32","CD47"
"962_at","CD48"
"963_at","CD53"
"965_at_AB_1:30","CD58"
"965_at_AB_31:52","CD58"
"966_at","CD59"
"967_at","CD63"
"968_at","CD68"
"969_at","CD69"
"970_at","CD70"
"971_at","CD72"
"972_at_AB_1:14","CD74"
"972_at_AB_15:47","CD74"
"973_at","CD79A"
"974_at","CD79B"
"975_at","CD81"
"976_at","ADGRE5"
"977_at","CD151"
"978_at","CDA"
"983_at_AB_1:9","CDK1"
"983_at_AB_10:29","CDK1"
"984_at","CDK11B"
"987_at","LRBA"
"988_at","CDC5L"
"989_at","SEPTIN7"
"990_at","CDC6"
"991_at","CDC20"
"993_at","CDC25A"
"994_at","CDC25B"
"995_at","CDC25C"
"996_at_AB_1:6","CDC27"
"996_at_AB_7:38","CDC27"
"997_at","CDC34"
"998_at_AB_1:4","CDC42"
"998_at_AB_5:30","CDC42"
"999_at_AB_1:11","CDH1"
"999_at_AB_12:22","CDH1"
"1000_at","CDH2"
"1001_at","CDH3"
"1002_at","CDH4"
"1003_at_AB_12:22","CDH5"
